Sl.No,Vendor No.,Name of the party,Document No,GST NUMBER,Invoice No,Invoice Date,Description,HSN CODE,Total invoice value,Taxable amount,SGST %,SGST,CGST %,CGST%,IGST %,IGST
269,V1146,Omega Agencies,JV/H/21-22/00528,37BCPPB8819Q1ZP,18,18/10/2021,Postage & Courier charges,996812,"16,649.00","14,109.00",9.00,"1,270.00",9.00,"1,270.00",0.00,0.00
270,V0412,"AO CASH, BSNL",JV/H/21-22/00529,37AABCB5576G3ZI,SDCAP0020987020,18/10/2021,Telephone Charges,8517,"15,046.00","12,750.00",9.00,"1,148.00",9.00,"1,148.00",0.00,0.00
271,V0091,KPMG Advisory Services Pvt Ltd,JV/H/21-22/00532,36AABCK2895D1ZJ,KASP-TL/500003,18/10/2021,KPMG Consultancy Charges,998313,"104,996.00","88,980.00",0.00,0.00,0.00,0.00,18.00,"16,016.00"
272,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00533,37ABTFS0415M1ZO,SV/L/21-22/0161,20/10/2021,Chimakurthy Branch Advance,998346,"210,187.00","178,125.00",9.00,"16,031.00",9.00,"16,031.00",0.00,0.00
273,V1271,M/s.Haradeep Granites,JV/H/21-22/00534,37AAOPE0706B2Z8,1 TO 5,20/10/2021,Purchase of Survey Stones,998342,"1,316,555.00","1,115,725.00",9.00,"100,415.00",9.00,"100,415.00",0.00,0.00
274,V1273,Express Publications (Madurai) Private Limited,JV/H/21-22/00538,37AAACI0842D1Z1,API5025131,21/10/2021,Advertisement,998363,"44,352.00","42,240.00",2.50,"1,056.00",2.50,"1,056.00",0.00,0.00
275,V1273,Express Publications (Madurai) Private Limited,JV/H/21-22/00539,37AAACI0842D1Z1,API5025132,21/10/2021,Advertisement,998363,"44,352.00","42,240.00",2.50,"1,056.00",2.50,"1,056.00",0.00,0.00
276,V1269,SRI KRISHNA PUBLICITIES,JV/H/21-22/00540,37ADAFS8062R1ZA,SKP-260-21-22,21/10/2021,Advertisement,998363,"49,266.00","46,920.00",2.50,"1,173.00",2.50,"1,173.00",0.00,0.00
277,V1269,SRI KRISHNA PUBLICITIES,JV/H/21-22/00541,37ADAFS8062R1ZA,SKP-261-21-22,21/10/2021,Advertisement,998363,"49,266.00","46,920.00",2.50,"1,173.00",2.50,"1,173.00",0.00,0.00
278,V0449,Ratnam Car Travels (Vijayawada),JV/H/21-22/00544,,141142,21/10/2021,Taxi Hire charges,9966,"12,017.00","11,445.00",2.50,286.00,2.50,286.00,0.00,0.00
279,V0449,Ratnam Car Travels (Vijayawada),JV/H/21-22/00545,,143,21/10/2021,Taxi Hire charges,9966,"47,250.00","45,000.00",2.50,"1,125.00",2.50,"1,125.00",0.00,0.00
280,V1136,The Krishna Dist Co-Operative Marketing Society Lt,JV/H/21-22/00547,37AAABT2461L1Z8,39,22/10/2021,Printing & Stationary,5208,361.00,343.00,2.50,9.00,2.50,9.00,0.00,0.00
281,V1136,The Krishna Dist Co-Operative Marketing Society Lt,JV/H/21-22/00547,37AAABT2461L1Z8,39,22/10/2021,Printing & Stationary,4802,"21,599.00","19,285.00",6.00,"1,157.00",6.00,"1,157.00",0.00,0.00
282,V1136,The Krishna Dist Co-Operative Marketing Society Lt,JV/H/21-22/00547,37AAABT2461L1Z8,39,22/10/2021,Printing & Stationary,4819,"8,652.00","7,332.00",9.00,660.00,9.00,660.00,0.00,0.00
283,V0737,"dun & bradstreet Information Ser India P.Ltd.,",JV/H/21-22/00552,27AAACD3958P1Z3,10507409,26/10/2021,Consultancy Charges,998313,"531,000.00","450,000.00",0.00,0.00,0.00,0.00,18.00,"81,000.00"
284,V1051,M/S.SGRP AND ASSOCIATES LLP,JV/H/21-22/00553,37AEBFS7755K1ZF,085/01/2021,26/10/2021,Consultancy Charges,998313,"59,000.00","50,000.00",9.00,"4,500.00",9.00,"4,500.00",0.00,0.00
285,V0544,PEST BUSTER,JV/H/21-22/00556,37AAFFP1751Q1ZQ,968,26/10/2021,Rep & Main to buildings,998531,"14,160.00","12,000.00",9.00,"1,080.00",9.00,"1,080.00",0.00,0.00
286,V1186,REDDY ENTERPRISES,JV/H/21-22/00557,37AKAPM1969N1ZM,REPMHRD21002562,27/10/2021,Uniforms,998519,"1,545,429.00","1,309,685.00",9.00,"117,872.00",9.00,"117,872.00",0.00,0.00
287,V1277,TAJ,JV/H/21-22/00558,37AABCB7800P1ZE,112618085,27/10/2021,T.A.Expenses to Chairman,996311,"17,700.00","15,000.00",9.00,"1,350.00",9.00,"1,350.00",0.00,0.00
288,V1167,"M/s Tata Tele Service Ltd,",JV/H/21-22/00559,37AAACT2438A1ZS,5531990370,27/10/2021,Telephone Charges,8517,"177,000.00","150,000.00",9.00,"13,500.00",9.00,"13,500.00",0.00,0.00
289,V0885,Avarix Telecom Consulting Private Limited,JV/H/21-22/00562,36AANCA0080G1ZU,HYD/2021/84,27/10/2021,Data Processing Expenses,997331,"90,270.00","76,500.00",0.00,0.00,0.00,0.00,18.00,"13,770.00"
290,V0885,Avarix Telecom Consulting Private Limited,JV/H/21-22/00563,36AANCA0080G1ZU,HYD/2122/15,28/10/2021,Data Processing Expenses,998719,"9,310.00","7,890.00",0.00,0.00,0.00,0.00,18.00,"1,420.00"
291,V1254,Shiva Sai Catering Services,JV/H/21-22/00564,37BGRPP6178C1ZU,SC/APMDC/06,29/10/2021,Courtesy & Hospitality Exp.,9963,"103,713.00","98,775.00",2.50,"2,469.00",2.50,"2,469.00",0.00,0.00
292,V1280,M.S.Travels,JV/H/21-22/00565,,3652 TO3655,29/10/2021,T.A.Expenses to Others,9966,"38,106.00","36,291.00",0.00,0.00,0.00,0.00,5.00,"1,815.00"
293,V0412,"AO CASH, BSNL",JV/H/21-22/00569,37AABCB5576G3ZI,NDCAP2000035739,01/11/2021,Internet Charges,8517,"766,999.00","649,999.00",9.00,"58,500.00",9.00,"58,500.00",0.00,0.00
294,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00570,37ABTFS0415M1ZO,SV/L/21-22/0162,01/11/2021,Advance to others,998313,"210,187.00","178,125.00",9.00,"16,031.00",9.00,"16,031.00",0.00,0.00
295,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00571,37ABTFS0415M1ZO,SV/L/21-22/0163,01/11/2021,Advance to others,998313,"210,187.00","178,125.00",9.00,"16,031.00",9.00,"16,031.00",0.00,0.00
296,V0551,JASTI KISHORE (AP),JV/H/21-22/00572,37AAYPJ9251E2Z5,52,01/11/2021,Office rent,997212,"1,039,860.00","881,238.00",9.00,"79,311.00",9.00,"79,311.00",0.00,0.00
297,V0449,Ratnam Car Travels (Vijayawada),JV/H/21-22/00574,,145,01/11/2021,Taxi Hire charges,9966,"29,560.00","28,152.00",2.50,704.00,2.50,704.00,0.00,0.00
298,V0726,Laser System Private Limited- VJA,JV/H/21-22/00575,37AAACL3798F1Z9,"LSLVJA49,50/21-22",01/11/2021,Data Processing Expenses,84439959,"21,951.00","18,603.00",9.00,"1,674.00",9.00,"1,674.00",0.00,0.00
299,V0726,Laser System Private Limited- VJA,JV/H/21-22/00575,37AAACL3798F1Z9,"LSLVJA49,50/21-22",01/11/2021,Data Processing Expenses,84439959,"24,094.00","20,418.00",9.00,"1,838.00",9.00,"1,838.00",0.00,0.00
300,V1051,M/S.SGRP AND ASSOCIATES LLP,JV/H/21-22/00579,37AEBFS7755K1ZF,084/01/2021,02/11/2021,Consultancy Charges,998313,"41,300.00","35,000.00",9.00,"3,150.00",9.00,"3,150.00",0.00,0.00
301,V1051,M/S.SGRP AND ASSOCIATES LLP,JV/H/21-22/00580,37AEBFS7755K1ZF,098/01/21-22,02/11/2021,Consultancy Charges,998313,"41,300.00","35,000.00",9.00,"3,150.00",9.00,"3,150.00",0.00,0.00
302,V0981,M/S.DLR PROJECTS,JV/H/21-22/00581,36AAMFD9721H1Z6,DLRPAPMDC20211001,02/11/2021,Consultancy Charges,998313,"389,400.00","330,000.00",0.00,0.00,0.00,0.00,18.00,"59,400.00"
303,V1051,M/S.SGRP AND ASSOCIATES LLP,JV/H/21-22/00582,37AEBFS7755K1ZF,097/01/21-22,02/11/2021,Consultancy Charges,998313,"70,800.00","60,000.00",9.00,"5,400.00",9.00,"5,400.00",0.00,0.00
304,V1186,REDDY ENTERPRISES,JV/H/21-22/00583,37AKAPM1969N1ZM,REPMHRD21082557,03/11/2021,Remuneration(Outsourcing),998519,"4,500,832.00","3,814,264.00",9.00,"343,284.00",9.00,"343,284.00",0.00,0.00
305,V1186,REDDY ENTERPRISES,JV/H/21-22/00585,37AKAPM1969N1ZM,REPMHRD21002563,03/11/2021,Remuneration(Outsourcing),998519,"189,744.00","160,800.00",9.00,"14,472.00",9.00,"14,472.00",0.00,0.00
306,V0892,Sinpar Hospitality & Logistic Services,JV/H/21-22/00586,,SHLS/TPT/21-10 TO 24,05/11/2021,Taxi Hire charges,9966,"534,712.00","509,250.00",2.50,"12,731.00",2.50,"12,731.00",0.00,0.00
307,V1169,Sri Lakshmi Prasanna Travels,JV/H/21-22/00587,,650,05/11/2021,Taxi Hire charges,9966,"68,250.00","65,000.00",2.50,"1,625.00",2.50,"1,625.00",0.00,0.00
308,V0465,Automotive Manufacturers Pvt. Ltd.,JV/H/21-22/00588,37AAACA3428K1ZQ,"RBR22A001127,28",05/11/2021,R & M to Vehicles,6307,799.00,761.00,2.50,19.00,2.50,19.00,0.00,0.00
309,V0465,Automotive Manufacturers Pvt. Ltd.,JV/H/21-22/00588,37AAACA3428K1ZQ,"RBR22A001127,28",05/11/2021,R & M to Vehicles,5807,155.00,139.00,6.00,8.00,6.00,8.00,0.00,0.00
310,V0465,Automotive Manufacturers Pvt. Ltd.,JV/H/21-22/00588,37AAACA3428K1ZQ,"RBR22A001127,28",05/11/2021,R & M to Vehicles,40169990,"28,844.00","24,444.00",9.00,"2,200.00",9.00,"2,200.00",0.00,0.00
311,V0465,Automotive Manufacturers Pvt. Ltd.,JV/H/21-22/00588,37AAACA3428K1ZQ,"RBR22A001127,28",05/11/2021,R & M to Vehicles,224979,934.00,730.00,14.00,102.00,14.00,102.00,0.00,0.00
312,V0091,KPMG Advisory Services Pvt Ltd,JV/H/21-22/00591,36AABCK2895D1ZJ,KASP-TL/500053,05/11/2021,KPMG Consultancy Charges,998313,"3,402,699.00","2,883,643.00",0.00,0.00,0.00,0.00,18.00,"519,056.00"
313,V0898,P. SRINADH,JV/H/21-22/00593,,OCT-21,09/11/2021,Taxi Hire charges,9966,"36,750.00","35,000.00",2.50,875.00,2.50,875.00,0.00,0.00
314,V1262,"SYED KHADER MASTAN,",JV/H/21-22/00599,,SEPT-2021,10/11/2021,Legal and professional charges,998211,"88,500.00","75,000.00",9.00,"6,750.00",9.00,"6,750.00",0.00,0.00
315,V1186,REDDY ENTERPRISES,JV/H/21-22/00600,37AKAPM1969N1ZM,REPMHRD21102567,11/11/2021,Remuneration(Outsourcing),998519,"189,744.00","160,800.00",9.00,"14,472.00",9.00,"14,472.00",0.00,0.00
316,V1186,REDDY ENTERPRISES,JV/H/21-22/00601,37AKAPM1969N1ZM,REPMHRD21102566,11/11/2021,Remuneration(Outsourcing),998519,"4,147,036.00","3,514,438.00",9.00,"316,299.00",9.00,"316,299.00",0.00,0.00
317,V1255,K.Satyanand,JV/H/21-22/00605,,PART PAYMENT,12/11/2021,Legal and professional charges,998211,"295,000.00","250,000.00",0.00,0.00,0.00,0.00,18.00,"45,000.00"
318,V1237,Sri.D.Appa Rao,JV/H/21-22/00606,,PART PAY,12/11/2021,Legal and professional charges,998211,"590,000.00","500,000.00",9.00,"45,000.00",9.00,"45,000.00",0.00,0.00
319,V0449,Ratnam Car Travels (Vijayawada),JV/H/21-22/00609,,140,12/11/2021,Taxi Hire charges,9966,"47,250.00","45,000.00",2.50,"1,125.00",2.50,"1,125.00",0.00,0.00
320,V1133,M/S.Mridula Enterprises,JV/H/21-22/00611,37AARFM3727H2ZV,03/OCT/2021,12/11/2021,Chairman&Peshi exp,99853,"72,216.00","61,200.00",9.00,"5,508.00",9.00,"5,508.00",0.00,0.00
321,V0830,Sri D.Moshe,JV/H/21-22/00614,,OCTOBER-2021,17/11/2021,Taxi Hire charges,9966,"52,500.00","50,000.00",2.50,"1,250.00",2.50,"1,250.00",0.00,0.00
322,V0503,Radha Madhav Automobiles Pvt Ltd (TOYOTA),JV/H/21-22/00615,37AADCR0141D1ZX,TXS21-08331,15/11/2021,Rep & Maint to Vehicals,70091090,"24,121.00","20,441.00",9.00,"1,840.00",9.00,"1,840.00",0.00,0.00
323,V0503,Radha Madhav Automobiles Pvt Ltd (TOYOTA),JV/H/21-22/00615,37AADCR0141D1ZX,TXS21-08331,15/11/2021,Rep & Maint to Vehicals,3208,"35,371.00","27,633.00",14.00,"3,869.00",14.00,"3,869.00",0.00,0.00
324,V1283,Naidu Tours & Travels,JV/H/21-22/00617,,OCT21,17/11/2021,Taxi Hire charges,9966,"12,128.00","11,550.00",0.00,0.00,0.00,0.00,5.00,578.00
325,V0449,Ratnam Car Travels (Vijayawada),JV/H/21-22/00618,,OCTOBER-2021,17/11/2021,Taxi Hire charges,9966,"66,881.00","63,697.00",2.50,"1,592.00",2.50,"1,592.00",0.00,0.00
326,V1179,Santosh agencies,JV/H/21-22/00620,37ABXFS7523A1ZU,12,18/11/2021,Employee Welfare Expenses,9963,"334,920.00","283,830.00",9.00,"25,545.00",9.00,"25,545.00",0.00,0.00
327,V0391,Techgene Solutions Pvt Ltd,JV/H/21-22/00621,36AABCT7458B1ZD,TG/SW/2021/107,18/11/2021,Mangampet Branch Advance,998314,"3,831,455.00","3,246,996.00",0.00,0.00,0.00,0.00,18.00,"584,459.00"
328,V1262,"SYED KHADER MASTAN,",JV/H/21-22/00623,,OCT21,18/11/2021,Legal and professional charges,998216,"88,500.00","75,000.00",9.00,"6,750.00",9.00,"6,750.00",0.00,0.00
329,V1146,Omega Agencies,JV/H/21-22/00628,37BCPPB8819Q1ZP,22,19/11/2021,Postage & Courier charges,996812,"24,277.00","20,573.00",9.00,"1,852.00",9.00,"1,852.00",0.00,0.00
330,V0890,M/S.ASWINI DIGITECH,JV/H/21-22/00629,36CNVPK3887M2ZT,AD/2021-22/002.,19/11/2021,HP PAVILION LAPTOP14-DV0054TU,8471,"68,500.00","58,051.00",0.00,0.00,0.00,0.00,18.00,"10,449.00"
331,V0890,M/S.ASWINI DIGITECH,JV/H/21-22/00630,36CNVPK3887M2ZT,AD/2021-22/003,19/11/2021,HP15 11th GEN INTEL CORE I5 PROCESSOR,8471,"58,746.00","49,785.00",0.00,0.00,0.00,0.00,18.00,"8,961.00"
332,V1286,DIGITAL WORLD,JV/H/21-22/00631,37AADFD5349Q1ZU,VJA-2122/11193,19/11/2021,HP LAPTOP 250G8-Ci5-1135G7,8471,"56,500.00","47,882.00",9.00,"4,309.00",9.00,"4,309.00",0.00,0.00
333,V0890,M/S.ASWINI DIGITECH,JV/H/21-22/00632,36CNVPK3887M2ZT,AD/2021-22/002..,19/11/2021,Lenovo idepad slim 3 10th core id 15.6inch,8417,"54,499.00","46,186.00",0.00,0.00,0.00,0.00,18.00,"8,313.00"
334,V0922,CHUNDI MOHAN REDDY,JV/H/21-22/00633,,OCTOBER-2021.,19/11/2021,Taxi Hire charges,9966,"36,750.00","35,000.00",2.50,875.00,2.50,875.00,0.00,0.00
335,V0583,Satya Computers,JV/H/21-22/00635,37AVYPS9207L1ZF,1150,19/11/2021,Data Processing Expenses,84439952,"5,098.00","4,320.00",9.00,389.00,9.00,389.00,0.00,0.00
336,V0544,PEST BUSTER,JV/H/21-22/00636,37AAFFP1751Q1ZQ,1059,19/11/2021,Rep & Main to buildings,998531,"14,160.00","12,000.00",9.00,"1,080.00",9.00,"1,080.00",0.00,0.00
337,V0967,M/S.Arrow sales corporation,JV/H/21-22/00637,37ACIPP4573F1ZB,ASC/21-22/S348,19/11/2021,Data Processing Expenses,8473,"5,387.00","4,565.00",9.00,411.00,9.00,411.00,0.00,0.00
338,V0412,"AO CASH, BSNL",JV/H/21-22/00638,37AABCB5576G3ZI,SDCAP0021277791,19/11/2021,Telephone Charges,8517,"14,738.00","12,490.00",9.00,"1,124.00",9.00,"1,124.00",0.00,0.00
339,V0684,BHARTI AIRTEL LIMITED,JV/H/21-22/00639,37AAACB2894G1ZM,BM22371002135998,19/11/2021,Telephone Charges,8517,"32,582.00","27,612.00",9.00,"2,485.00",9.00,"2,485.00",0.00,0.00
340,V1086,M/S.SHREENIJA HOSPITALITY SERVICES,JV/H/21-22/00641,37ADDFS4149N1ZJ,SNH/2122/0196,19/11/2021,Processing Charges,998551,"259,309.00","219,753.00",9.00,"19,778.00",9.00,"19,778.00",0.00,0.00
341,V1280,M.S.Travels,JV/H/21-22/00642,,36813682,22/11/2021,Taxi Hire charges,9966,"17,514.00","16,680.00",0.00,0.00,0.00,0.00,5.00,834.00
342,V1290,M/s.Genesis Poweronics India Pvt Ltd,JV/H/21-22/00645,36AACCG6182G1ZK,SI1108,23/11/2021,Suliyari Coal Block Branch Advance,85021100,"389,999.00","330,508.00",0.00,0.00,0.00,0.00,18.00,"59,491.00"
343,V1288,M/S Khaitan & Co LLP,JV/H/21-22/00646,,"NO12122B02657,NO12122B02591",23/11/2021,Legal and professional charges,998216,"265,500.00","225,000.00",0.00,0.00,0.00,0.00,18.00,"40,500.00"
344,V1086,M/S.SHREENIJA HOSPITALITY SERVICES,JV/H/21-22/00647,37ADDFS4149N1ZJ,SNH/2122/178 TO 205(19+8=27),24/11/2021,Processing Charges,998555,"32,924.00","27,902.00",9.00,"2,511.00",9.00,"2,511.00",0.00,0.00
345,V0886,JAI SREE ENTERPRISE,JV/H/21-22/00649,37ASHPA9840K1ZF,695967969,29/11/2021,Rep & Main to buildings,8544,"10,200.00","8,644.00",9.00,778.00,9.00,778.00,0.00,0.00
346,V1056,AJAY TOURS,JV/H/21-22/00653,07AGGPG5275K1Z5,1104011044,30/11/2021,Taxi Hire charges,9966,"172,328.00","164,122.00",0.00,0.00,0.00,0.00,5.00,"8,206.00"
347,V0391,Techgene Solutions Pvt Ltd,JV/H/21-22/00656,36AABCT7458B1ZD,TG/SW/2021/108,30/11/2021,Mangampet Branch Advance,998314,"1,958,382.00","1,659,646.00",0.00,0.00,0.00,0.00,18.00,"298,736.00"
348,V0981,M/S.DLR PROJECTS,JV/H/21-22/00662,36AAMFD9721H1Z6,DLRPAPMDC20211101,02/12/2021,Consultancy Charges,998331,"428,340.00","363,000.00",0.00,0.00,0.00,0.00,18.00,"65,340.00"
349,V1186,REDDY ENTERPRISES,JV/H/21-22/00665,37AKAPM1969N1ZM,REPMHRD21112575,03/12/2021,Remuneration(Outsourcing),998519,"4,419,737.00","3,745,539.00",9.00,"337,099.00",9.00,"337,099.00",0.00,0.00
350,V1186,REDDY ENTERPRISES,JV/H/21-22/00667,37AKAPM1969N1ZM,REPMHRD21002573,03/12/2021,Special Incen. on Net Profit Payable,998519,"1,255,743.00","1,064,189.00",9.00,"95,777.00",9.00,"95,777.00",0.00,0.00
351,V0091,KPMG Advisory Services Pvt Ltd,JV/H/21-22/00668,36AABCK2895D1ZJ,KASP-TL/500058,07/12/2021,Consultancy Charges,998313,"3,402,699.00","2,883,643.00",0.00,0.00,0.00,0.00,18.00,"519,056.00"
352,V1169,Sri Lakshmi Prasanna Travels,JV/H/21-22/00670,,65,07/12/2021,Taxi Hire charges,9966,"68,250.00","65,000.00",2.50,"1,625.00",2.50,"1,625.00",0.00,0.00
353,V1254,Shiva Sai Catering Services,JV/H/21-22/00671,37BGRPP6178C1ZU,SC/APMDC/08,07/12/2021,Employee Welfare Expenses,9963,"506,428.00","482,312.00",2.50,"12,058.00",2.50,"12,058.00",0.00,0.00
354,V0830,Sri D.Moshe,JV/H/21-22/00674,,NOV-21,08/12/2021,Taxi Hire charges,9966,"52,500.00","50,000.00",2.50,"1,250.00",2.50,"1,250.00",0.00,0.00
355,V0898,P. SRINADH,JV/H/21-22/00676,,NOV-21,08/12/2021,Taxi Hire charges,9966,"36,750.00","35,000.00",2.50,875.00,2.50,875.00,0.00,0.00
356,V1186,REDDY ENTERPRISES,JV/H/21-22/00677,37AKAPM1969N1ZM,REPMHRD21052540,09/12/2021,Remuneration(Outsourcing),998519,"294,789.00","249,821.00",9.00,"22,484.00",9.00,"22,484.00",0.00,0.00
357,V1186,REDDY ENTERPRISES,JV/H/21-22/00678,37AKAPM1969N1ZM,REPMHRD21082556,09/12/2021,Remuneration(Outsourcing),998519,"1,053,181.00","892,527.00",9.00,"80,327.00",9.00,"80,327.00",0.00,0.00
358,V1186,REDDY ENTERPRISES,JV/H/21-22/00680,37AKAPM1969N1ZM,REPMHRD21082558,09/12/2021,Remuneration(Outsourcing),998519,"313,998.00","266,100.00",9.00,"23,949.00",9.00,"23,949.00",0.00,0.00
359,V1186,REDDY ENTERPRISES,JV/H/21-22/00681,37AKAPM1969N1ZM,REPMHRD21082574,09/12/2021,Remuneration(Outsourcing),998519,"442,675.00","375,149.00",9.00,"33,763.00",9.00,"33,763.00",0.00,0.00
360,V1293,Tadanki Ravi Kumar,JV/H/21-22/00683,,21,09/12/2021,Taxi Hire charges,9966,"6,930.00","6,600.00",2.50,165.00,2.50,165.00,0.00,0.00
361,V0751,Schindler India Pvt Ltd,JV/H/21-22/00684,37AAECS1548J1Z5,"CI3700006289,6290",10/12/2021,Rep & Main to buildings,995469,"129,922.00","110,104.00",9.00,"9,909.00",9.00,"9,909.00",0.00,0.00
362,V1028,Hotel sun valley Inn,JV/H/21-22/00685,37AATFG9258K1ZF,37383941,10/12/2021,Audit Expenses,996311,"42,492.00","37,940.00",6.00,"2,276.00",6.00,"2,276.00",0.00,0.00
363,V1237,Sri.D.Appa Rao,JV/H/21-22/00686,,FIRST INSTALLMENT,10/12/2021,Legal and professional charges,998216,"1,180,000.00","1,000,000.00",9.00,"90,000.00",9.00,"90,000.00",0.00,0.00
364,V1255,K.Satyanand,JV/H/21-22/00689,,ARBITRATION.,10/12/2021,Legal and professional charges,998211,"295,000.00","250,000.00",9.00,"22,500.00",9.00,"22,500.00",0.00,0.00
365,V0412,"AO CASH, BSNL",JV/H/21-22/00697,37AABCB5576G3ZI,SDCAP0021678402,14/12/2021,Telephone Charges,8517,"15,046.00","12,750.00",9.00,"1,148.00",9.00,"1,148.00",0.00,0.00
366,V1186,REDDY ENTERPRISES,JV/H/21-22/00699,37AKAPM1969N1ZM,REP/APMDC/2021/28.,15/12/2021,Remuneration Payable ( Outsourcing),998519,"717,575.00","608,115.00",9.00,"54,730.00",9.00,"54,730.00",0.00,0.00
367,V1133,M/S.Mridula Enterprises,JV/H/21-22/00701,37AARFM3727H2ZV,301 TO303 & 305,16/12/2021,Chairman&Peshi exp,99853,"144,432.00","122,400.00",9.00,"11,016.00",9.00,"11,016.00",0.00,0.00
368,V1298,Hotel Mayuri Inn,JV/H/21-22/00704,37AGYPA4514F1ZD,20211004920,17/12/2021,Audit Expenses,996311,"8,960.00","8,000.00",6.00,480.00,6.00,480.00,0.00,0.00
369,V1298,Hotel Mayuri Inn,JV/H/21-22/00705,37AGYPA4514F1ZD,20211004971,17/12/2021,Audit Expenses,996311,"2,240.00","2,000.00",6.00,120.00,6.00,120.00,0.00,0.00
370,V0449,Ratnam Car Travels (Vijayawada),JV/H/21-22/00706,,159,17/12/2021,Taxi Hire charges,9966,"47,250.00","45,000.00",2.50,"1,125.00",2.50,"1,125.00",0.00,0.00
371,V1133,M/S.Mridula Enterprises,JV/H/21-22/00707,37AARFM3727H2ZV,304,17/12/2021,Chairman&Peshi exp,440060,"72,216.00","61,200.00",9.00,"5,508.00",9.00,"5,508.00",0.00,0.00
372,V0544,PEST BUSTER,JV/H/21-22/00709,37AAFFP1751Q1ZQ,1263,17/12/2021,Rep & Main to buildings,998531,"14,160.00","12,000.00",9.00,"1,080.00",9.00,"1,080.00",0.00,0.00
373,V0967,M/S.Arrow sales corporation,JV/H/21-22/00711,37ACIPP4573F1ZB,"ASC/21-22/S268,234",18/12/2021,Data Processing Expenses,997314,"13,575.00","11,505.00",9.00,"1,035.00",9.00,"1,035.00",0.00,0.00
374,V1179,Santosh agencies,JV/H/21-22/00713,37ABXFS7523A1ZU,13,20/12/2021,Remuneration(Outsourcing),99853,"334,920.00","283,830.00",9.00,"25,545.00",9.00,"25,545.00",0.00,0.00
375,V0710,THG Publishing Private Limited,JV/H/21-22/00714,36AAGCT1726K1Z6,"1723766,4873&1732411,13",20/12/2021,Advertisement,9983,"298,704.00","284,480.00",0.00,0.00,0.00,0.00,5.00,"14,224.00"
376,V1227,THG Publishing Private Ltd,JV/H/21-22/00715,37AAGCT1726K1Z4,"1865086,5964,2752&1870325,1868062",20/12/2021,Advertisement,9983,"331,246.00","315,472.00",2.50,"7,887.00",2.50,"7,887.00",0.00,0.00
377,V0895,Jagathi Publications Limited (AP),JV/H/21-22/00716,37AABCJ7667G1Z8,"AP7010039132,AP7010054026/212510281",20/12/2021,Advertisement,9983,"833,096.00","793,424.00",2.50,"19,836.00",2.50,"19,836.00",0.00,0.00
378,V1276,3eyes Automations,JV/H/21-22/00717,36AACFZ7630B1ZA,TG/SW/2021/101.,20/12/2021,Data Processing Expenses,998314,"141,600.00","120,000.00",0.00,0.00,0.00,0.00,18.00,"21,600.00"
379,V0341,Chennai Privilege  Cars,JV/H/21-22/00719,,SEP-21 TO NOV-21.,20/12/2021,Taxi Hire charges,9966,"157,500.00","150,000.00",2.50,"3,750.00",2.50,"3,750.00",0.00,0.00
380,V1186,REDDY ENTERPRISES,JV/H/21-22/00721,37AKAPM1969N1ZM,REP/APMDC/2021/29,22/12/2021,Remuneration Payable ( Outsourcing),998519,"1,000,287.00","847,701.00",9.00,"76,293.00",9.00,"76,293.00",0.00,0.00
381,V0971,M/S.LEGAL ENTITY IDENTIFIER INDIA LTD,JV/H/21-22/00722,27AACCL9508M1Z1,RRW/2122/0018392,22/12/2021,Reg&filling and stamp duty,998216,"3,540.00","3,000.00",0.00,0.00,0.00,0.00,18.00,540.00
382,V1240,M/S.Sri Sai Surya Granites,JV/H/21-22/00723,37ABPFS9563G2ZD,123,22/12/2021,Purchase of Survey Stones,998342,"1,362,900.00","1,155,000.00",9.00,"103,950.00",9.00,"103,950.00",0.00,0.00
383,V1286,DIGITAL WORLD,JV/H/21-22/00724,37AADFD5349Q1ZU,VJA-2122/12127,23/12/2021,Data Processing Expenses,998713,590.00,500.00,9.00,45.00,9.00,45.00,0.00,0.00
384,V0583,Satya Computers,JV/H/21-22/00725,37AVYPS9207L1ZF,1160,23/12/2021,Data Processing Expenses,84439951,"5,499.00","4,661.00",9.00,419.00,9.00,419.00,0.00,0.00
385,V1146,Omega Agencies,JV/H/21-22/00727,37BCPPB8819Q1ZP,26,24/12/2021,Postage & Courier charges,996812,"23,902.00","20,256.00",9.00,"1,823.00",9.00,"1,823.00",0.00,0.00
386,V0260,SELECT ENGINEERING SYSTEMS,JV/H/21-22/00728,36AAGFS4550H1Z4,G-1865,24/12/2021,Telephone Charges,998719,"36,431.00","30,874.00",0.00,0.00,0.00,0.00,18.00,"5,557.00"
387,V1051,M/S.SGRP AND ASSOCIATES LLP,JV/H/21-22/00730,37AEBFS7755K1ZF,109/01/2021,27/12/2021,Consultancy Charges,998231,"41,300.00","35,000.00",9.00,"3,150.00",9.00,"3,150.00",0.00,0.00
388,V1262,"SYED KHADER MASTAN,",JV/H/21-22/00733,,NOV-21,28/12/2021,Legal and professional charges,998211,"88,500.00","75,000.00",9.00,"6,750.00",9.00,"6,750.00",0.00,0.00
